TAXA,FAMILY,SPECIES,SUBSPECIES,Common_name,spp_code_raster,Spp_code_phylogeny,mass,mass_male,mass_female,size,size_male,size_female,color_dimorphism,age_1st_rep,max_lifespan,rep_characteristics,clutch_litter_size,rep_per_year,rep_seasonality,broad_diet,activity_period,shelter_type,strata_used,pot_dispersal,endemic,rainforest_specialization,references,num_occur,AUC,model_background,realized_dist,core_realized_dist,potential_dist,core_potential_dist,elev_range,temp_range,precip_range,ENFA_marginality,ENFA_specialization,num_veg_types,veg_speciliazation,map_reliability
BIRD,Psittacidae,Trichoglossus haematodus,mollucanus,Rainbow Lorikeet,RL,Th,130,135,128,300,.,.,0,.,16,10,2,2,3,3,1,1,4,7,0,4,1;3,744,0.637,target group,36462.3,33911.4,36462.3,33911.4,0 - 1294,17.2 - 24.9,812 - 5252,0.54,0.43,14,0.483,4
BIRD,Tytonidae,Tyto multipunctata,multipunctata,Lesser Sooty Owl,LSOWL,MP,495,370,560,365,350,380,0,365,34,9,2,1,3,4,2,1,4,5,1,5,1;3*,112,0.928,grid,16336.6,6166.9,16349.7,6166.9,23 - 1215,17.7 - 24.3,1202 - 4677,1.21,0.73,7,0.795,3ac
BIRD,Meliphagidae,Xanthotis macleayana,.,Macleay's Honeyeater,MACHE,Xm,32.8,39,32.4,200,.,.,0,.,8,10,2,1,2,3,1,1,4,4,1,5,1;2,510,0.892,grid,19922.1,9869,20029.8,9899.8,2 - 1198,17.5 - 24.7,1202 - 4901,0.92,0.57,14,0.682,4
BIRD,Muscicapidae,Zoothera heinei,.,Russet-tailed Thrush,RUSTTH,Zh,85,82.4,82,260,.,.,0,.,8,.,2,.,2,4,1,1,4,7,0,6,1;2*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BIRD,Muscicapidae,Zoothera lunulata,cuneata,Bassian Thrush,BASTH,Zl,100,104,99,275,.,.,0,.,8,10,2,1.5,2,4,1,1,4,5,0,5,1;2*,50,0.976,grid,6241.3,2421.6,6241.3,2421.6,600 - 1480,16 - 20.8,1270 - 6879,1.64,1.77,4,0.9,2abd
BIRD,Zosteropidae,Zosterops lateralis,vegetus/ramsayi,Silvereye,SE,ZL,11.4,11.8,11,120,.,.,0,.,19,10,3,3,3,3,1,1,4,6,0,4,1;2,511,0.729,target group,25333.6,18214.6,25333.6,18214.6,0 - 1500,15.9 - 24.6,1044 - 7067,0.81,0.49,17,0.647,3c
FROG,Microhylidae,Austrochaperina fryi,.,Cricket Chirper,AUSFRYI,Af,2.4,2.3,2.9,27.8,27.9,26.7,0,730,.,0,12,.,1,4,2,2,2,2,1,5,5; 6; 7,352,0.980,grid,5205.3,1950.8,5667.5,1979,0 - 1302,17.2 - 24.6,1362 - 3555,1.5,1.7,9,0.822,4
FROG,Microhylidae,Austrochaperina pluvialis,.,White-browed Chirper,AUSPLUV,Ap,1.1,1.1,.,23.1,23.1,.,0,730,.,0,10,.,1,4,2,2,2,2,1,5,5; 6; 7,216,0.930,grid,12241.6,7109.3,12516.2,7117.7,10 - 1293,17.4 - 24.6,1289 - 4157,1.08,0.83,7,0.755,4
FROG,Microhylidae,Austrochaperina robusta,.,Pealing Chirper,AUSROBU,Ar,1.7,1.7,1.6,25.6,25.4,25.8,0,730,.,0,12,.,1,4,2,2,2,2,1,5,5; 6; 7,558,0.960,grid,9707.2,4231.6,11517.4,4728.2,26 - 1517,15.8 - 23.7,1242 - 7212,1.58,1.17,11,0.802,4
FROG,Bufonidae,Bufo marinus,.,Cane Toad,BUFMARI,.,.,.,.,150,.,.,.,365,25,1,15000,2,2,4,2,2,2,5,0,3,3; 5; 6; 7,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
FROG,Microhylidae,Cophixalus aenigma,.,Tapping Nursery-Frog,COPAENI,Ca,0.6,0.5,.,19.2,18.7,.,0,730,.,0,8,.,1,4,2,2,2,2,1,6,5; 6; 7,165,0.994,grid,1158.5,409.6,2567.1,703.8,372 - 1317,17.1 - 22,1477 - 3550,2.02,5.41,6,0.709,4
FROG,Microhylidae,Cophixalus bombiens,.,Windsor Nursery-Frog,COPBOMB,Cb,0.3,0.3,0.4,13.6,13.4,14.8,0,730,.,0,7,.,1,4,2,2,2,2,1,5,5; 6; 7,74,0.990,grid,3453.7,878.4,4509.7,920.9,42 - 1280,17.4 - 24.4,1851 - 3320,1.66,4.18,5,0.811,2abcd
FROG,Microhylidae,Cophixalus concinnus,.,Beautiful Nursery-Frog,COPCONC,Cc,1.2,1.2,.,22,22,.,0,730,.,0,17,.,1,4,2,2,2,2,1,6,5; 6; 7,26,1.000,grid,163.8,12.9,1252.5,16.1,913 - 1279,17.3 - 19.2,2756 - 3456,2.53,76.73,5,0.692,4
FROG,Microhylidae,Cophixalus exiguus,.,Bloomfield Nursery-Frog,COPEXIG,Cx,0.4,0.4,.,15.3,15.1,.,0,730,.,0,9,.,1,4,2,2,2,2,1,5,5; 6; 7,17,0.999,grid,917.3,122.6,2148.1,246.4,320 - 700,20.4 - 22.5,2226 - 2939,1.69,25.18,1,1,2abd
FROG,Microhylidae,Cophixalus hosmeri,.,Pipping Nursery-Frog,COPHOSM,CH,0.3,0.2,.,13.2,12.7,.,0,730,.,0,7,.,1,4,2,2,5,2,1,6,5; 6; 7,88,0.996,grid,429.1,242.3,1830.5,491.3,704 - 1302,17.2 - 20.5,1429 - 3008,2,23.28,3,0.943,4
FROG,Microhylidae,Cophixalus infacetus,.,Buzzing Nursery-Frog,COPINFA,Ci,0.5,0.5,.,14.8,14.7,18.8,0,730,.,0,11,.,1,4,2,2,2,2,1,6,5; 6; 7,163,0.960,grid,8766,3641.5,10591.1,3752.2,20 - 1037,18.4 - 24.3,1583 - 4157,1.45,1.11,7,0.908,3ac
FROG,Microhylidae,Cophixalus mcdonaldi,.,Southern Nursery-Frog,COPMCDO,Cm,1.1,.,.,20.9,20,.,.,730,.,0,17,.,1,4,2,2,2,2,1,5,5; 6; 7,2,0.968,grid,162.2,162,18458,6218.3,465 - 780,19.7 - 21.4,1170 - 1459,.,.,.,.,3b
FROG,Microhylidae,Cophixalus monticola,.,Mountain Top Nursery-Frog,COPMONT,CM,0.6,0.6,.,18.2,18.2,.,0,730,.,0,11,.,1,4,2,2,2,2,1,6,5; 6; 7,18,1.000,grid,202.5,81.5,644.4,112.5,1134 - 1240,17.6 - 18.1,2469 - 2758,2.3,441.75,1,1,3bc
FROG,Microhylidae,Cophixalus neglectus,.,Tangerine Nursery-Frog,COPNEGL,Cn,1.8,.,.,24,21.2,24.6,0,730,.,0,22,.,1,4,2,2,2,2,1,6,5; 6; 7,62,1.000,grid,244.1,66,1385.5,67,765 - 1585,15.5 - 19.7,3437 - 7417,3.45,13.06,4,0.548,4
FROG,Microhylidae,Cophixalus ornatus,.,Common Nursery-Frog,COPORNA,Co,1,1,1.3,22.6,22.6,24.7,0,1460,14,0,16,.,1,4,2,2,2,2,1,5,5; 6; 7; 8,944,0.939,grid,11745,5989.7,13357.4,6500.1,15 - 1512,15.9 - 24.3,1219 - 7036,1.46,0.87,12,0.77,4
FROG,Myobatrachidae,Limnodynastes peronii,.,Striped Marshfrog,LIMPERO,Lp,20,.,.,65,.,.,0,365,.,1,850,.,2,4,2,2,6,3,0,3,5; 6; 7,116,0.843,target group,26070.9,16772.4,26077.2,16772.4,15 - 1194,17.6 - 23.9,866 - 4081,0.97,0.68,7,0.402,2c
FROG,Hylidae,Litoria fallax,.,Eastern Sedgefrog,LITFALL,RU,0.9,.,.,25,.,.,0,365,.,1,695,.,2,4,1,3,6,3,0,3,5; 6; 7,84,0.840,target group,34943.6,27884.3,34943.6,27884.3,0 - 1065,18.3 - 24.5,838 - 3726,0.42,0.47,8,0.357,3bc
FROG,Hylidae,Litoria genimaculata,.,Green-eyed Treefrog,LITGENI,Ge,15,4.7,22.6,60,42.9,68.8,0,730,16,1,843,.,2,4,2,2,6,3,1,5,5; 6; 7,486,0.899,grid,16306.5,9598.2,16365.4,9604.2,11 - 1443,16.2 - 24.6,1111 - 6556,1.09,0.58,13,0.68,4
FROG,Hylidae,Litoria infrafrenata,.,White-lipped Treefrog,LITINFR,Li,.,.,.,110,.,.,.,730,.,1,4100,.,2,4,2,3,6,3,0,4,5; 6; 7,62,0.899,grid,22465.7,10214.8,22488.9,10214.8,4 - 1013,18.8 - 24.9,1057 - 4157,1.24,0.7,7,0.441,4
FROG,Hylidae,Litoria jungguy,.,.,LITJUNG,Lj,11.1,6.3,22.2,46,41,59.1,0,365,11,1,1200,.,2,4,1,3,6,3,1,5,.,191,0.940,grid,7115.3,6963.7,7166.8,6985.8,14 - 1431,16.3 - 24.7,981 - 5879,0.98,0.55,7,0.926,2de
